# Region type :   patch outlet
# Faces           : 20
# Area            : 2.2500000000e-05
# Scale factor    : 1.0000000000e+00
# Time            	areaIntegrateU
0.176             	3.7315153301e-06 -8.8566358665e-15 0.0000000000e+00
0.178             	3.7315158865e-06 -8.8523401609e-15 0.0000000000e+00
0.18              	3.7315163628e-06 -8.8548452205e-15 0.0000000000e+00
0.182             	3.7315167704e-06 -8.8611781150e-15 0.0000000000e+00
0.184             	3.7315171191e-06 -8.8673226683e-15 0.0000000000e+00
0.186             	3.7315174178e-06 -8.8602886510e-15 0.0000000000e+00
0.188             	3.7315176734e-06 -8.8601117857e-15 0.0000000000e+00
0.19              	3.7315178920e-06 -8.8555725868e-15 0.0000000000e+00
0.192             	3.7315180793e-06 -8.8646670223e-15 0.0000000000e+00
0.194             	3.7315182394e-06 -8.8640545584e-15 0.0000000000e+00
0.196             	3.7315183767e-06 -8.8580882867e-15 0.0000000000e+00
0.198             	3.7315184939e-06 -8.8560931961e-15 0.0000000000e+00
0.2               	3.7315185943e-06 -8.8595747390e-15 0.0000000000e+00
